# created from Y0mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 0 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.36699,0.212073,33.3172,-1.44446
0.365524,0.212073,33.3087,-1.46018
0.364058,0.212073,33.2998,-1.48445
0.362592,0.212073,33.2795,-1.50595
0.361126,0.212073,33.2643,-1.53373
0.35966,0.212073,33.2682,-1.60533
0.358194,0.212073,33.2823,-1.67063
0.356728,0.212073,33.2913,-1.67113
0.355262,0.212073,33.285,-1.61123
0.353796,0.212073,33.2824,-1.55327
0.35233,0.212073,33.2978,-1.54836
0.350864,0.212073,33.3243,-1.58959
0.349397,0.212073,33.3521,-1.64328
0.347931,0.212073,33.355,-1.66663
0.346465,0.212073,33.3123,-1.64545
0.344999,0.212073,33.2593,-1.59897
0.343533,0.212073,33.2568,-1.55811
0.342067,0.212073,33.2789,-1.55443
0.340601,0.212073,33.2824,-1.62044
0.339135,0.212073,33.2777,-1.70965
0.337669,0.212073,33.2743,-1.77601
0.336203,0.212073,33.2634,-1.79854
0.334737,0.212073,33.2511,-1.81869
0.333271,0.212073,33.2478,-1.83412
0.331805,0.212073,33.2547,-1.80409
0.330339,0.212073,33.2755,-1.74642
0.328873,0.212073,33.3022,-1.72748
0.327407,0.212073,33.314,-1.77687
0.325941,0.212073,33.3119,-1.88295
0.324475,0.212073,33.2948,-1.96942
0.323009,0.212073,33.2677,-2.0014
0.321543,0.212073,33.2403,-2.01238
0.320077,0.212073,33.244,-2.05671
0.318611,0.212073,33.2745,-2.13604
0.317145,0.212073,33.3022,-2.18596
0.315679,0.212073,33.3086,-2.18498
0.314213,0.212073,33.317,-2.14635
0.312747,0.212073,33.3292,-2.16397
0.311281,0.212073,33.3192,-2.25734
0.309815,0.212073,33.2854,-2.36313
0.308349,0.212073,33.2634,-2.42417
0.306883,0.212073,33.2582,-2.42829
0.305417,0.212073,33.2589,-2.39921
0.30395,0.212073,33.264,-2.4042
0.302484,0.212073,33.2704,-2.44155
0.301018,0.212073,33.2912,-2.51654
0.299552,0.212073,33.3026,-2.56528
0.298086,0.212073,33.33,-2.62384
0.29662,0.212073,33.3417,-2.68373
0.295154,0.212073,33.345,-2.7569
0.293688,0.212073,33.3166,-2.80732
0.292222,0.212073,33.278,-2.82836
0.290756,0.212073,33.2289,-2.82803
0.28929,0.212073,33.1883,-2.82568
0.287824,0.212073,33.1847,-2.87597
0.286358,0.212073,33.204,-2.95678
0.284892,0.212073,33.3019,-2.85567
0.283426,0.212073,33.3372,-2.88382
0.28196,0.212073,33.3845,-2.89749
