"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
28.161,0.12438,-4.4017,1.4888,0.0021902,425.94,-11.821,0,0.33,0.21864,0.099242
29.957,0.38415,-3.6706,0.050676,0.00037564,109.99,-18.781,0,0.33,0.21861,0.12412
28.867,-0.70187,-4.2685,0.35048,0.00083262,277.42,-4.535,0,0.33,0.24303,0.099255
29.92,-0.25217,-3.5093,0.022643,0.00027905,76.795,-12.59,0,0.33,0.24299,0.12409
30.064,0.84937,-3.6388,0.11885,0.00067654,149.78,-26.499,0,0.33,0.19422,0.12408
30.575,0.9048,-3.0313,0.022598,0.00040925,42.135,-29.408,0,0.33,0.19424,0.14895
30.451,0.47195,-3.0335,0.0091813,0.00020921,28.404,-23.236,0,0.33,0.21862,0.14902
30.359,0.0051805,-2.9088,0.0070835,0.00016794,20.62,-18.15,0,0.33,0.24297,0.14898
30.785,0.88286,-2.4484,0.0085743,0.0001938,17.649,-30.705,0,0.33,0.19422,0.17383
30.684,0.53098,-2.4639,0.0063109,0.0001005,11.158,-25.828,0,0.33,0.2186,0.174
30.8,0.5258,-2.0173,0.0058251,6.4754e-05,5.5936,-26.802,0,0.33,0.21856,0.19883
30.74,0.2607,-1.8665,0.0056477,6.4031e-05,3.2949,-23.876,0,0.33,0.24289,0.19888
30.59,0.17834,-2.3803,0.0058588,6.4822e-05,7.5303,-21.731,0,0.33,0.24293,0.174
29.243,-1.3761,-3.7043,0.10841,0.00046148,192.6,-1.2287,0,0.33,0.26737,0.099253
29.934,-0.79933,-3.1476,0.015575,0.00025084,55.735,-9.1013,0,0.33,0.26734,0.12405
30.308,-0.71923,-2.3886,0.0059775,9.7247e-05,9.8291,-12.989,0,0.33,0.29171,0.14896
30.294,-0.41179,-2.6614,0.0063739,0.000142,14.84,-14.791,0,0.33,0.26732,0.1489
30.631,-0.0028234,-1.8446,0.0055643,6.2892e-05,2.3138,-20.837,0,0.33,0.26725,0.19882
30.504,-0.14613,-2.2113,0.0056842,5.4757e-05,5.012,-18.656,0,0.33,0.26728,0.17392
30.974,1.1011,1.8736,0.0089744,0.00015018,16.144,-34.795,0,0.33,0.16985,-0.19866
30.909,1.2582,2.3783,0.021755,0.00041686,31.83,-36.073,0,0.33,0.16984,-0.17385
30.669,1.329,3.0007,0.11302,0.0010603,78.215,-36.595,0,0.33,0.16985,-0.14903
22.688,1.0782,4.6284,8.5403,0.0097993,819.8,-64.674,0,0.33,0.12115,-0.099161
27.285,0.90388,4.4865,2.9077,0.0046101,598.57,-46.319,0,0.33,0.14551,-0.099178
26.025,2.0788,3.9233,5.6149,0.0080234,628.49,-61.676,0,0.33,0.12115,-0.12403
29.202,1.6746,3.7539,1.6319,0.0040027,347.3,-47.646,0,0.33,0.14551,-0.12405
28.07,0.70332,4.2673,2.0578,0.0031055,537.38,-31.62,0,0.33,0.16987,-0.099218
30.068,1.2244,3.6613,0.36455,0.0016286,197.99,-35.814,0,0.33,0.16987,-0.12408
6.0074,1.3517,-3.6955,16.69,0.016894,952.17,-92.742,0,0.33,0.072599,0.099128
11.294,2.7945,-3.9354,15.006,0.013156,1059.5,-84.131,0,0.33,0.072611,0.12393
19.643,2.3468,-4.1351,12.003,0.01251,920.04,-74.868,0,0.33,0.096853,0.12401
25.726,2.7372,-2.9088,5.7289,0.0073727,659.98,-63.125,0,0.33,0.096888,0.14891
19.686,3.3271,-2.889,9.2801,0.0083848,956.9,-68.52,0,0.33,0.072634,0.14878
10.542,1.8534,1.102,4.1969,0.0014598,735.68,-43.826,0,0.33,0.0020334,0.17324
14.572,2.438,0.44051,4.6355,0.0021373,825.17,-47.419,0,0.33,0.024189,0.17334
24.811,1.751,1.0712,1.5934,0.0012722,422.09,-43.513,0,0.33,0.024193,0.19809
28.837,1.8379,0.25926,0.97434,0.0013742,296.74,-46.001,0,0.33,0.048425,0.19822
22.183,3.0854,-0.67336,4.5656,0.0034646,811.7,-53.393,0,0.33,0.048417,0.17345
29.804,2.4376,-1.7001,1.2293,0.003021,310.55,-52.885,0,0.33,0.09693,0.17372
27.216,2.877,-1.2747,2.9503,0.0038885,559.46,-55.292,0,0.33,0.072654,0.17357
30.212,2.0721,-0.53846,0.58625,0.0016414,226.42,-48.585,0,0.33,0.072665,0.19832
22.728,1.053,-4.6252,8.5104,0.0097735,818.67,-64.402,0,0.33,0.12114,0.099211
26.058,2.0596,-3.911,5.5907,0.007998,627.33,-61.551,0,0.33,0.12117,0.12412
27.294,0.87223,-4.4727,2.9159,0.0046162,599.15,-45.849,0,0.33,0.14551,0.099208
29.216,1.6487,-3.7332,1.6183,0.0039734,346.66,-47.43,0,0.33,0.14552,0.12409
29.16,2.2555,-2.8755,2.1484,0.0045572,365.31,-54.593,0,0.33,0.1212,0.14907
30.442,1.7715,-2.922,0.55691,0.0023879,171.18,-45.093,0,0.33,0.14551,0.14908
27.954,0.67269,-4.2081,2.3294,0.0033327,554.99,-31.132,0,0.33,0.16987,0.099225
30.066,1.1975,-3.6221,0.36845,0.0016217,202.63,-35.61,0,0.33,0.16987,0.12408
30.672,1.3166,-2.9745,0.11104,0.0010482,77.905,-36.545,0,0.33,0.16986,0.149
30.789,2.0263,-2.0104,0.35647,0.0017797,147.08,-47.995,0,0.33,0.12122,0.17388
31.117,1.6876,-1.4753,0.063554,0.00074082,58.99,-43.405,0,0.33,0.12123,0.19862
31.074,1.3205,-1.5921,0.018855,0.00030563,27.296,-38.515,0,0.33,0.14553,0.19872
30.984,1.6269,-2.2356,0.086802,0.00090682,66.454,-42.039,0,0.33,0.14551,0.17393
30.911,1.2515,-2.3605,0.021497,0.00041606,31.659,-36.087,0,0.33,0.16986,0.17384
30.976,1.0968,-1.8601,0.0089331,0.00015045,16.074,-34.833,0,0.33,0.16986,0.19865
1.2181,-3.9395,-8.6173,7.0763,0.0017466,980.85,-48.419,0,0.33,0,-0.049493
-0.21708,-2.5879,-9.3145,7.5086,0.0022002,992.34,-77.408,0,0.33,0.0016837,-0.074243
-0.1904,-2.6341,-9.5225,7.3985,0.0017466,1003,-76.711,0,0.33,0,-0.07424
1.2334,-3.9343,-8.4588,7.1566,0.0021239,972.64,-49.556,0,0.33,0.0016455,-0.049494
2.8603,-6.1741,-5.8411,6.3913,0.0016168,931.79,-7.9423,0,0.33,0,-0.024747
2.9138,-6.2349,-5.7352,6.4239,0.0018702,927.7,-9.51,0,0.33,0.0016455,-0.024747
1.1412,-3.9197,8.4478,7.2208,0.0021386,976.91,-50.205,0,0.33,0.0016454,0.049494
-0.28471,-2.6247,9.491,7.4545,0.0017555,1006.8,-77.07,0,0.33,0,0.07424
-0.31027,-2.5781,9.282,7.5651,0.0022131,996.03,-77.762,0,0.33,0.0016836,0.074243
1.1248,-3.9251,8.6076,7.1402,0.001758,985.28,-49.078,0,0.33,0,0.049493
2.8352,-6.2042,5.7555,6.5016,0.0018891,933.16,-10.239,0,0.33,0.0016455,0.024747
2.7803,-6.1431,5.8635,6.4685,0.0016327,937.43,-8.6821,0,0.33,0,0.024747
19.65,3.3413,2.8976,9.278,0.0083858,957.27,-68.435,0,0.33,0.072624,-0.14879
-0.10096,1.2102,0.54026,12.801,0.01472,820.02,-96.157,0,0.33,0.048372,-0.099092
3.4318,2.96,2.0687,12.605,0.010806,1019.2,-85.732,0,0.33,0.04838,-0.12388
-1.6835,-0.58592,-6.3749,7.3773,0.001742,1001.4,-70.303,0,0.33,0,-0.12583
28.908,-0.7433,4.2534,0.26777,0.0006975,266.04,-4.3244,0,0.33,0.24301,-0.099275
29.917,-0.28677,3.5093,0.020875,0.00027131,74.265,-12.438,0,0.33,0.24299,-0.12412
30.291,-0.42711,2.6629,0.0063588,0.00014082,14.718,-14.71,0,0.33,0.26732,-0.14902
29.101,-3.1073,0.84758,0.03166,0.00025983,112.39,9.7669,0,0.33,0.34039,-0.024755
29.994,-1.865,0.70164,0.0056763,7.0594e-05,5.7589,-3.9631,0,0.33,0.3891,-0.049561
29.69,-2.3087,1.0393,0.0066465,0.0001658,18.97,0.86022,0,0.33,0.36476,-0.049559
29.976,-1.7943,-1.9805,0.0071526,0.00012843,18.211,-4.148,0,0.33,0.34037,0.099262
29.683,-2.2719,-1.8796,0.01441,0.00022668,49.562,0.84324,0,0.33,0.34038,0.074464
29.995,-1.8632,-0.70944,0.0056762,7.0502e-05,5.7583,-3.9927,0,0.33,0.38907,0.049568
29.691,-2.307,-1.0491,0.0066429,0.00016564,18.97,0.8182,0,0.33,0.36475,0.049561
30.621,-0.43335,1.3954,0.0054914,8.6894e-05,0.89899,-16.946,0,0.33,0.3402,-0.19901
30.504,-0.66843,1.6052,0.0055094,6.7166e-05,1.3887,-14.743,0,0.33,0.34027,-0.17412
30.463,-1.0253,1.1601,0.0054962,8.5939e-05,1.0666,-12.921,0,0.33,0.38904,-0.14893
30.404,-1.0557,1.4585,0.0055141,6.363e-05,1.5622,-12.283,0,0.33,0.36473,-0.14891
30.371,-0.90186,-2.1024,0.0056819,6.2319e-05,5.1714,-12.158,0,0.33,0.31605,0.14903
30.229,-1.3795,-1.9249,0.0057193,6.8836e-05,6.1985,-8.4874,0,0.33,0.34037,0.12407
30.398,-0.99973,-1.7819,0.0055527,5.5104e-05,2.5735,-12.045,0,0.33,0.34036,0.14902
