"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
-0.60495,-1.3515,-1.5915,16.205,0.018051,896.54,-162.92,0,0.33,0.051426,0.086722
-0.62687,-1.0802,-1.7001,16.241,0.018021,896.05,-163.43,0,0.33,0.051425,0.088271
3.1375,-0.085517,-7.7913,19.886,0.016845,1180.3,-144.39,0,0.33,0.069628,0.088268
3.0781,-0.33668,-7.6764,19.955,0.016957,1176.5,-143.95,0,0.33,0.069628,0.086721
3.2007,-2.2002,-6.5471,21.185,0.018088,1170.9,-138.02,0,0.33,0.069627,0.075874
-0.57101,-1.6211,-1.4826,16.19,0.018029,898.08,-162.25,0,0.33,0.051427,0.085167
3.0375,-0.59244,-7.5498,20.054,0.017082,1173.7,-143.42,0,0.33,0.069628,0.085175
2.5611,0.026741,19.886,12.838,0.00035003,10578,-132.95,0,0.33,0,0.10054
2.42,-2.5764,14.301,20.227,0.011545,1425.7,-66.443,0,0.33,0.012079,0.047951
2.5215,-1.9709,15.722,19.438,0.010824,1667.7,-61.719,0,0.33,0.0090592,0.047951
2.2884,-2.476,14.466,20.276,0.011629,1420.6,-71.27,0,0.33,0.012079,0.049499
2.4046,-1.893,15.896,19.463,0.01089,1663.6,-66.757,0,0.33,0.0090592,0.049498
2.9667,-0.24484,20.006,12.979,0.00035991,10643,-92.633,0,0.33,0,0.061872
3.0159,-0.25704,19.901,12.953,0.00036039,10632,-88.709,0,0.33,0,0.060326
2.2904,-1.8181,16.059,19.484,0.01095,1660.3,-71.603,0,0.33,0.0090592,0.051046
2.16,-2.3794,14.62,20.322,0.011706,1416.3,-75.919,0,0.33,0.012079,0.051046
2.7203,-0.55969,18.996,14.509,0.0030387,6712.6,-77.605,0,0.33,0.0030196,0.055687
2.7931,-0.58465,18.852,14.507,0.0030495,6703.4,-72.995,0,0.33,0.0030195,0.05414
2.9973,-0.45961,19.095,13.737,0.0018178,8482.6,-72.122,0,0.33,0.0016355,0.054139
2.9306,-0.43941,19.24,13.754,0.0018118,8493.7,-76.772,0,0.33,0.0016355,0.055686
1.7937,-2.1114,15.028,20.44,0.011902,1407.5,-88.836,0,0.33,0.012081,0.055692
1.9126,-2.1972,14.901,20.403,0.011841,1409.8,-84.699,0,0.33,0.01208,0.054143
1.9646,-1.6096,16.486,19.526,0.011091,1654.1,-85.036,0,0.33,0.0090595,0.055691
2.0704,-1.6764,16.354,19.515,0.011049,1655.6,-80.74,0,0.33,0.0090593,0.054143
1.7335,-0.061249,19.811,13.782,0.0026088,6816.5,-134.96,0,0.33,0.0030211,0.094365
1.7401,-0.082336,19.874,13.848,0.0026325,6818.3,-134.83,0,0.33,0.0030211,0.092818
2.2733,-0.047182,20.194,13.263,0.0010461,9481.8,-134.41,0,0.33,0.00091912,0.092812
2.2993,-0.031607,20.14,13.199,0.00096834,9592.3,-134.53,0,0.33,0.00082512,0.094359
-0.092569,-0.076225,15.861,19.342,0.013102,1440.2,-139.44,0,0.33,0.012086,0.099029
-0.077923,-0.15896,15.93,19.452,0.013134,1438.1,-140.02,0,0.33,0.012086,0.097481
0.24675,-0.052476,17.209,17.926,0.01066,1710.3,-137.15,0,0.33,0.0090639,0.099022
0.26231,-0.11515,17.284,18.051,0.010756,1706.6,-137.72,0,0.33,0.009064,0.097475
-0.0089302,-0.39802,16.087,19.763,0.013191,1432.4,-140.56,0,0.33,0.012087,0.092836
0.33123,-0.29612,17.458,18.405,0.011024,1697,-138.22,0,0.33,0.0090644,0.09283
-0.036024,-0.31988,16.043,19.664,0.013179,1434.1,-140.58,0,0.33,0.012086,0.094383
0.30469,-0.23698,17.409,18.292,0.010938,1700,-138.26,0,0.33,0.0090642,0.094378
2.5088,-0.064883,20.492,13.07,0.00035362,10672,-132.57,0,0.33,0,0.088169
2.5148,-0.075473,20.527,13.086,0.00035399,10679,-131.64,0,0.33,0,0.086622
-1.2767,0.0030382,9.8417,19.334,0.014826,1053.7,-150.68,0,0.33,0.024181,0.10061
-1.0419,-0.0090778,11.339,19.825,0.014306,1119.7,-147.62,0,0.33,0.021155,0.10059
12.197,-1.2569,-7.1695,30.212,0.021925,1378,-89.899,0,0.33,0.09691,0.06815
12.283,-1.0489,-7.3487,30.342,0.021834,1389.7,-90.936,0,0.33,0.096928,0.069685
13.252,-1.0593,-6.9515,29.744,0.021541,1380.8,-86.033,0,0.33,0.099939,0.068155
13.366,-0.86486,-7.1142,29.851,0.021455,1391.4,-87.054,0,0.33,0.099959,0.069689
16.207,-0.092838,-6.8269,27.756,0.019598,1416.2,-83.155,0,0.33,0.10603,0.074369
17.441,0.013791,-6.4484,26.044,0.018467,1410.2,-80.034,0,0.33,0.10906,0.07438
15.985,-0.23618,-6.7303,27.799,0.019748,1407.7,-82.179,0,0.33,0.10603,0.072817
17.2,-0.11861,-6.3615,26.15,0.018628,1403.8,-79.067,0,0.33,0.10906,0.072828
16.6,-0.56543,-6.039,26.303,0.018969,1386.7,-75.982,0,0.33,0.10906,0.068177
15.443,-0.71899,-6.3689,27.786,0.020074,1384.2,-79.076,0,0.33,0.10603,0.068152
16.779,-0.40776,-6.1568,26.282,0.018882,1392,-77.037,0,0.33,0.10906,0.06973
